switch_e,switch_c,host,connection,interval,link,hop,avgSentMsg,avgSentByte,secMaxSendMsg,secMaxSendByte
1,0,10,92,6,10,1,5.29,0.93,268,80.98
2,9,14,9,8,24,11,38.31,6.03,913,161.36
2,20,18,76,8,39,22,72.11,9.69,14575,1975.81
2,31,20,98,9,52,33,92.31,12.19,38212,5160
2,40,12,5,5,53,42,175.69,24.59,3192,430.17
2,56,18,11,3,75,58,311.96,44.17,8768,1233.94
2,56,18,46,7,75,58,195.42,26.37,29908,4100.42
2,11,10,2,9,22,13,53.62,8.03,416,56.06
2,27,20,79,8,48,29,94.88,12.69,33619,4550.02
2,42,20,68,2,63,44,360.95,51.05,35607,5029.86
2,61,12,16,3,74,63,242.07,38.1,7591,1378.05
1,0,9,22,3,9,1,11.22,1.67,322,43.54
2,9,20,83,1,30,11,199.25,28.05,9331,1257.65
2,28,6,8,2,35,30,167.8,23.04,1799,244.34
2,29,12,17,5,42,31,131.99,18.4,6910,965.64
2,42,20,21,7,63,44,142.63,20.83,10223,1587.03
2,42,20,44,2,63,44,395.9,54.88,27553,3768.25
2,49,20,3,3,70,51,241.04,34.97,2450,344.38
2,49,20,36,5,70,51,222.15,30.64,23283,3216.43
2,27,20,98,6,48,29,114.29,15.41,33752,4581.23
2,36,4,1,7,41,38,71.5,9.5,464,62.27
2,44,12,10,5,57,46,191.23,26.27,7002,956.19
2,54,20,28,0,75,56,948.6,146.66,13722,2247.93
2,54,20,48,5,75,56,242.67,32.98,31694,4335.11
2,54,20,86,4,75,56,288.53,38.85,53056,7160.11
2,3,8,2,8,12,5,20.8,3.09,162,21.83
2,27,18,7,2,46,29,257.13,37.22,3942,534.38
2,32,20,65,3,53,34,231.68,32.28,22924,3153.07
2,47,14,9,9,62,49,129.69,18.16,4807,709.48
2,47,14,37,10,62,49,118.72,16.06,22397,3248.9
2,61,18,64,1,80,63,662.78,104.17,20348,3141.06
2,17,20,9,2,38,19,188.01,27.88,2961,403.64
2,20,18,44,8,39,22,63.02,9.26,9592,1573.58
2,40,6,8,4,47,42,147.15,21.45,3504,556.59
2,52,16,19,4,69,54,273.46,38.59,14651,2083.37
2,6,20,4,6,27,8,53.15,8.5,488,80.39
2,6,20,58,5,27,8,42.41,5.96,6842,922.07
2,6,20,95,3,27,8,60.59,8.59,10818,1479.55
2,38,16,26,8,55,40,110.07,15.64,10892,1692.03
2,45,20,24,10,66,47,125.63,16.93,14135,1931.49
2,45,20,58,6,66,47,166.56,23.56,27234,4115.87
2,45,20,81,6,66,47,180.17,23.96,35478,4783.93
2,51,16,20,5,68,53,214.28,29.41,14078,1951.33
2,51,16,59,2,68,53,402.15,59.87,34515,5313.92
2,5,20,74,0,26,7,549.01,82.57,4362,609.17
2,10,2,1,5,13,12,29.18,3.91,167,21.21
2,25,6,6,5,32,27,83.5,12.37,1397,227.86
2,37,18,9,8,56,39,141.77,20.55,4725,688.59
2,37,18,60,8,56,39,121.2,16.12,27451,3718.88
2,37,18,67,9,56,39,108.51,14.32,36164,4887.59
2,40,20,10,8,61,42,136.62,19.31,2783,428.67
2,40,20,38,2,61,42,323.05,47.47,17996,2683.71
2,40,20,74,6,61,42,161.14,21.56,43351,5842.29
2,55,20,22,1,76,57,590.04,84.78,15969,2259.97
2,55,20,66,3,76,57,355.79,48.56,44614,6050.12
2,0,16,33,7,17,2,9.71,1.57,859,135.97
2,12,20,78,6,33,14,59.98,8.2,11029,1486.68
2,33,16,45,7,50,35,97.94,14.41,10746,1832.17
2,43,18,10,6,62,45,172.27,24.54,5560,788.53
2,52,20,11,5,73,54,228.61,33,6975,1012.54
2,52,20,48,1,73,54,623.41,92.17,14526,2179.16
2,52,20,74,6,73,54,200.12,26.76,46566,6309.39
2,2,20,14,0,23,4,89.03,14.99,534,84.86
2,23,20,15,4,44,25,134.12,20.18,4227,640.46
2,23,20,77,1,44,25,425.24,59.25,27592,3729.56
2,30,10,24,2,41,32,218.5,32.56,5339,762.14
2,44,20,30,5,65,46,202.62,27.64,18403,2485.15
2,44,20,45,8,65,46,136.66,18.93,25991,3796.95
2,55,10,19,9,66,57,132.91,18.81,11274,1801.18
2,18,18,38,1,37,20,279.59,42.29,9077,1379.73
2,24,20,14,1,45,26,260.65,41.05,2829,471.03
2,24,20,38,2,45,26,228.68,34.03,8532,1323.71
2,33,20,20,8,54,35,121.29,16.69,5019,677.87
2,39,10,5,7,50,41,123.64,17.32,2291,320.63
2,54,14,11,10,69,56,129.53,18.59,5460,914.07
2,14,20,40,5,35,16,66.16,10.21,5069,873.04
2,19,10,4,6,30,21,84.64,12.55,973,145.4
2,34,20,82,5,55,36,161.18,21.77,26715,3604.13
2,47,16,47,8,64,49,145.66,19.64,23435,3274.33
2,49,20,17,4,70,51,271.42,37.81,12659,1719.57
2,49,20,73,5,70,51,222.57,29.9,52022,7010.85
2,0,12,29,5,13,2,12.35,1.83,620,83.43
2,25,20,8,4,46,27,160.1,23.73,2809,393.68
2,25,20,47,1,46,27,393.44,57.01,15815,2243.47
2,25,20,72,1,46,27,403.98,60.73,22704,3460.5
2,31,8,9,10,40,33,84.92,11.46,3870,539.26
2,42,20,14,1,63,44,403.95,58.97,7176,1036.46
2,42,20,69,7,63,44,147.33,19.63,42033,5666.78
2,53,20,44,0,74,55,1617.5,228.41,19551,2795.87
1,0,3,4,6,3,1,5.08,0.75,29,4.32
2,9,8,16,2,18,11,80.26,11.97,1913,292.28
2,28,14,47,6,43,30,96.4,14.32,13307,2193.9
2,30,20,6,10,51,32,109.82,17.28,1565,298.87
2,30,20,57,7,51,32,98.11,14.3,19873,3122.43
2,30,20,80,6,51,32,126.67,17.06,21017,2846.5
2,42,8,8,10,51,44,105.73,14.49,4602,667.87
2,50,12,19,10,63,52,113.26,15.93,9661,1544.06
2,8,18,17,8,27,10,36.65,5.53,1959,299.37
2,8,18,52,3,27,10,68.61,10.1,4422,638.26
2,22,6,9,9,29,24,63.65,8.93,2690,398.95
2,29,20,12,7,50,31,107.59,17.28,3099,601.79
2,29,20,38,1,50,31,410.74,59.21,14849,2103.86
2,29,20,98,6,50,31,123.2,16.54,43706,5893.72
2,43,6,5,0,50,45,274.44,37.68,2740,374.77
2,49,18,30,8,68,51,150.88,20.24,13932,1890.91
2,49,18,58,7,68,51,166.27,22.6,22434,3234.27
1,0,10,25,2,10,1,12.2,2.04,201,39.57
2,17,8,7,0,26,19,178.29,27.65,1152,189.38
2,33,14,44,10,48,35,84.85,11.58,14441,1953.46
2,39,20,18,0,60,41,600.59,96.03,5709,990.72
2,60,18,2,1,79,62,274.07,39.4,1779,241.7
2,60,18,48,3,79,62,367.73,51.8,36121,5133.02
2,60,18,69,2,79,62,480.9,68.59,49537,7174.24
2,6,20,87,7,27,8,30.53,4.32,9689,1356.64
2,14,12,16,4,27,16,90.05,12.77,3677,502.78
2,19,18,22,10,38,21,58.49,8.46,5161,799.67
2,19,18,39,10,38,21,50.52,7.49,7514,1304.11
2,36,20,77,1,57,38,529.68,76.73,34087,4919.96
2,39,4,1,6,44,41,101.17,13.46,811,109.93
2,62,16,7,8,79,64,182.85,25.27,3154,425.05
2,62,16,34,9,79,64,166.19,21.97,27761,3782.51
2,0,20,45,10,21,2,8.95,1.36,1457,196.29
2,10,2,1,2,13,12,31.03,4.15,157,19.69
2,25,6,6,8,32,27,77.55,10.46,2174,293.4
2,36,20,31,10,57,38,98.96,13.97,8578,1334.53
2,36,20,44,7,57,38,121.45,17.32,19759,2962.15
2,36,20,89,0,57,38,2462.58,349.92,43847,6131.96
2,44,10,11,7,55,46,138.43,19.71,5653,854.15
2,49,18,10,3,68,51,218.29,33.43,4160,698.44
2,49,18,35,0,68,51,1099.52,168.16,16712,2669.37
2,49,18,73,9,68,51,140.61,18.44,36808,4968.61
2,8,20,81,9,29,10,32.38,4.42,11826,1593.74
2,14,6,8,6,21,16,54.47,7.73,1532,227.13
2,20,18,14,10,39,22,70.46,9.89,4140,566.09
2,20,18,34,0,39,22,744.62,112.95,7285,1112.84
2,20,18,79,6,39,22,87.98,11.94,24552,3342.16
2,40,4,4,7,45,42,94.41,13.26,1783,280.29
2,59,16,21,5,76,61,244.64,34.31,14186,2025.55
2,59,16,44,2,76,61,385.76,60.52,13258,2535.9
2,7,18,23,5,26,9,45.36,6.68,2626,377.91
2,7,18,65,4,26,9,52.85,7.53,7076,984.75
2,7,18,74,4,26,9,53.61,7.47,9162,1235.14
2,18,20,8,2,39,20,179.85,26.78,2492,342.59
2,18,20,34,5,39,20,89.53,13.26,7799,1199.7
2,18,20,86,8,39,20,67.99,9.12,15378,2073.69
2,28,14,9,10,43,30,90.42,12.54,3628,496.11
2,28,14,46,4,43,30,142.74,20.8,16066,2438.18
2,34,16,23,4,51,36,173.75,25.49,5036,704.13
2,34,16,37,1,51,36,479.08,66.86,10028,1357.02
2,40,18,50,6,59,42,148.26,20.96,15636,2285.72
2,57,20,20,1,78,59,560.71,82.46,8104,1137.01
2,57,20,61,10,78,59,152.99,20.04,28295,3820.01
2,57,20,83,2,78,59,424.05,64.61,31350,4663.02
2,15,18,16,3,34,17,114.3,17.55,3135,482.75
2,15,18,42,6,34,17,71.94,10.16,8098,1116.39
2,23,20,3,4,44,25,161.23,24.66,1139,158.27
2,23,20,58,9,44,25,74.64,10.04,20593,2799.21
2,31,16,18,10,48,33,81.95,11.98,5901,979.37
2,40,20,18,5,61,42,178.7,25.58,9261,1329.28
2,40,20,38,7,61,42,139.2,19.28,20405,2898.04
2,40,20,69,7,61,42,144.09,19.27,33867,4581.69
2,56,12,2,2,69,58,190.49,26.61,1302,181.79
2,1,18,15,2,20,3,24.86,4.75,242,60.32
2,16,20,83,8,37,18,58.65,7.98,20881,2880.06
2,22,14,2,5,37,24,115.41,18.12,679,113.28
2,36,16,41,0,53,38,1224.36,173.75,17605,2478.67
2,45,18,23,1,64,47,423.36,66.36,9866,1641.24
2,45,18,77,10,64,47,120.28,15.67,28495,3849.57
2,62,20,5,7,83,64,198.28,27.51,4290,583
2,62,20,62,8,83,64,172.96,23.88,45730,6799.44
2,62,20,99,0,83,64,2734.86,380.49,43659,5889.42
2,2,6,7,6,9,4,15.7,2.32,84,12.13
2,25,16,56,7,42,27,91.62,12.6,20326,2851.47
2,34,20,24,10,55,36,102.66,14.13,10365,1455.28
2,34,20,39,9,55,36,100.11,14.19,16897,2536.96
2,34,20,91,3,55,36,244.78,33.64,41764,5689.59
2,47,14,6,5,62,49,182,27.13,3194,509.05
2,61,20,53,7,82,63,205.29,28.22,38955,5419.6
2,7,2,1,2,10,9,25.85,3.48,109,13.1
2,23,18,25,9,42,25,72.22,10.3,7272,1088.02
2,38,20,16,10,59,40,120.97,16.47,8993,1216.85
2,38,20,58,5,59,40,169.45,23.8,29422,4213.84
2,38,20,86,2,59,40,432.95,59.83,37836,5126.27
2,42,14,31,1,57,44,515.07,71.3,11511,1555.5
2,42,14,36,9,57,44,104.28,15,15636,2533.7
2,59,20,91,9,80,61,164.08,21.58,63426,8656.7
2,3,4,2,2,8,5,23.09,3.37,142,20.54
2,16,12,14,4,29,18,94.34,13.59,3263,467.09
2,28,16,22,7,45,30,107.03,15.44,8702,1294.09
2,36,20,30,9,57,38,105.92,14.8,13438,1956.26
2,36,20,93,10,57,38,99.72,13.04,33896,4568.02
2,47,4,4,8,52,49,121.41,16.22,2887,406.58
2,60,14,48,5,75,62,251.89,33.8,28062,3813.36
2,6,16,27,10,23,8,22.66,3.35,2338,367.68
2,6,16,41,7,23,8,27.66,4.07,3547,536.1
2,11,18,61,3,30,13,81.9,12.64,8708,1410.35
2,19,20,61,10,40,21,59.37,7.99,18040,2469.28
2,48,18,9,5,67,50,177.73,26.95,3815,653.7
2,48,18,73,6,67,50,181.84,24.54,33301,4654.96
2,52,20,7,3,73,54,307.87,43.73,6086,832.7
2,0,14,29,5,15,2,12.95,1.94,964,129.79
2,0,14,39,2,15,2,18.92,3.27,733,133.78
2,9,20,33,5,30,11,49.8,7.68,3729,606.25
2,24,12,30,7,37,26,88.66,12.4,10455,1504.67
2,38,14,12,6,53,40,144.29,20.6,5905,875.6
2,38,14,47,0,53,40,1414.55,211.68,12822,2047.22
2,39,20,12,3,60,41,237.71,35.09,5824,859.69
2,39,20,66,7,60,41,137.91,18.45,20131,2733.43
2,39,20,75,3,60,41,263.73,36.8,40784,5707.5
2,55,20,66,2,76,57,463.23,64.98,38241,5223.14
2,5,16,8,2,22,7,56.68,9.53,492,88.54
2,22,20,4,5,43,24,144.78,22,1325,179.9
2,22,20,55,3,43,24,163.01,23.35,13843,1973.91
2,35,8,1,7,44,37,104.75,14.76,481,67.47
2,44,10,25,10,55,46,114.96,15.1,15848,2160.68
2,60,16,18,7,77,62,207.95,28.65,15288,2136.3
2,4,18,43,3,23,6,40.68,6.5,2730,450.46
2,4,18,77,4,23,6,37.09,5.29,5263,719.19
2,9,20,11,0,30,11,211.63,32.97,1361,199.3
2,21,6,3,4,28,23,95.74,13.56,1050,143.68
2,38,12,3,4,51,40,172.44,24.74,1903,268.9
2,47,14,6,8,62,49,134.83,20.79,2732,514.64
2,50,16,22,6,67,52,167.46,24.67,11385,1830.67
2,28,14,49,7,43,30,99.13,13.76,19297,2758
2,31,16,30,3,48,33,189.32,28.2,7406,1039.56
2,31,16,43,9,48,33,93.54,12.65,19178,2673.25
2,41,18,15,3,60,43,262.14,37.25,8866,1224.64
2,41,18,59,0,60,43,1829.24,264.14,30306,4376.92
2,41,18,69,2,60,43,335.06,48.91,32373,4832.95
2,60,20,68,3,81,62,379.46,52.82,55452,7741.12
2,3,14,47,9,18,5,16.03,2.32,3011,446.07
2,28,20,10,3,49,30,182.61,27.85,1861,278.01
2,28,20,91,7,49,30,105.05,14.1,33035,4454.58
2,29,16,49,10,46,31,70.87,10.02,10527,1760.25
2,46,20,28,9,67,48,124.1,17.97,14070,2256.96
2,46,20,34,2,67,48,391.48,55.73,12503,1803.99
2,46,20,71,4,67,48,252.9,34.63,47241,6487.54
2,52,2,1,1,55,54,102.25,12.88,702,95.77
2,20,20,88,5,41,22,105.9,14.42,28890,3893.49
2,32,8,15,9,41,34,92.52,12.42,6937,959.27
2,40,14,1,8,55,42,127.18,18.33,661,110.47
2,52,20,83,9,73,54,151.66,19.91,47035,6353.83
2,1,16,33,4,18,3,19.77,3,1314,183.41
2,1,16,42,5,18,3,15.14,2.41,1010,172.96
2,25,14,18,10,40,27,74.4,10.18,6353,885.21
2,38,16,22,1,55,40,481.65,68.23,12006,1645.77
2,38,16,38,7,55,40,138.91,18.79,21796,2957.32
2,48,20,25,3,69,50,308.01,42.7,10411,1416.54
2,48,20,62,1,69,50,634.17,90.93,23319,3179.16
2,56,12,5,3,69,58,210.38,30.52,3069,468.25
2,14,18,33,9,33,16,44.33,6.7,4675,782
2,19,20,72,8,40,21,69.49,9.35,21741,2931.42
2,37,14,27,5,52,39,164.05,22.85,13613,1919.85
2,37,14,40,5,52,39,158.4,22.28,19196,2795.67
2,46,20,13,5,67,48,208.41,29.95,7979,1149.22
2,49,12,23,3,62,51,273.69,37.86,14457,1990.34
2,2,18,25,1,21,4,46.68,8.36,632,137.16
2,22,20,69,6,43,24,98.18,13.4,23648,3234.05
2,30,2,1,9,33,32,57.56,7.33,366,50.59
2,39,8,7,3,48,41,217.34,30.32,4467,622.32
2,59,12,36,5,72,61,246.1,32.94,29840,4033.97
2,7,18,33,0,26,9,270.87,47.29,1939,382.89
2,7,18,54,1,26,9,142.17,21.5,5804,865.34
2,7,18,72,9,26,9,29.05,4,9552,1305.84
2,11,20,16,2,32,13,123.12,18.56,2564,365.09
2,11,20,67,10,32,13,39.27,5.3,13304,1792.92
2,22,2,1,4,25,24,53.28,6.97,258,33.69
2,35,4,2,10,40,37,74.03,9.73,999,133.94
2,48,6,1,6,55,50,105.27,13.96,576,77.63
2,60,12,12,9,73,62,158.74,21.86,9073,1317.44
2,7,14,41,1,22,9,119.49,18.91,3782,618.67
2,31,4,4,8,36,33,87.71,11.68,1848,250.03
2,46,8,4,7,55,48,135.92,18.73,2840,399.05
2,62,12,8,1,75,64,381.47,52.93,6563,892.63
1,0,9,50,9,9,1,5.24,0.81,513,83.97
2,15,20,60,1,36,17,245.62,36.24,6608,937.36
2,28,14,24,7,43,30,107.39,15.08,10062,1433.5
2,28,14,34,9,43,30,81.11,11.23,11214,1610.86
2,32,18,57,9,51,34,90.48,12.52,23720,3493.08
2,44,20,6,8,65,46,145.14,21.3,2133,352.21
2,44,20,66,5,65,46,193.27,26.74,39223,5553.73
2,44,20,80,3,65,46,315.14,42.93,44878,6048.01
2,55,18,72,2,74,57,400.08,61,36840,5999.11
1,0,10,30,8,10,1,6.64,0.99,432,58.22
1,0,10,41,9,10,1,5,0.84,213,56.13
2,23,20,21,8,44,25,86.71,12.44,6684,977.7
2,23,20,62,3,44,25,165.47,23.82,11401,1655.63
2,23,20,83,6,44,25,101.56,13.67,30202,4070.19
2,29,20,17,5,50,31,134.28,20.22,5802,916.62
2,40,18,22,8,59,42,140.51,19.22,10307,1427.7
2,40,18,57,6,59,42,146.38,20.69,22763,3410.09
2,40,18,67,8,59,42,129.5,17.09,29763,4011.98
2,52,20,17,4,73,54,267.46,37.69,11614,1614.25
2,52,20,61,10,73,54,142.22,18.64,45961,6194.74
2,52,20,69,7,73,54,178.95,23.79,51626,6957.41
2,6,10,3,5,17,8,39.97,5.94,360,48.75
2,10,14,5,3,25,12,78.87,11.89,760,104.18
2,24,18,11,10,43,26,84.39,11.98,3833,538.45
2,31,20,25,3,52,33,211.88,30.01,5487,754.96
2,31,20,94,0,52,33,2351.85,332.49,34019,4796.34
2,48,18,1,10,67,50,137.3,19.42,649,90.93
2,48,18,36,5,67,50,219.92,30.17,25295,3486.59
2,48,18,73,1,67,50,629.92,92.23,40020,5912.62
2,61,20,1,8,82,63,222.97,32.85,1071,168.54
2,61,20,42,4,82,63,254.67,37.87,20508,3364.52
2,3,10,20,7,14,5,15.14,2.53,736,155.58
2,14,14,23,7,29,16,57.46,8.22,4705,675.61
2,14,14,36,0,29,16,560.12,87.58,4783,771.33
2,28,18,2,10,47,30,129.42,19.56,838,132.08
2,30,20,18,8,51,32,105.68,15.26,6650,990.13
2,39,16,44,0,56,41,1400.13,195.71,19084,2574.11
2,56,20,18,4,77,58,268.36,37.51,12740,1767.26
2,56,20,98,1,77,58,792.47,109.63,46794,6374.3
2,21,20,26,0,42,23,667.85,98.85,6524,940.53
2,35,2,1,1,38,37,84.72,11.16,451,60.58
2,40,12,13,6,53,42,149.95,20.71,5157,720.65
2,55,20,62,9,76,57,158.1,20.87,36225,4881.88
1,0,3,9,6,3,1,4.59,0.67,29,4.32
2,11,10,18,8,22,13,41.1,5.84,2923,428.58
2,19,20,10,3,40,21,130.02,21.52,1645,318.66
2,19,20,43,6,40,21,79.05,11.66,10103,1570.72
2,19,20,84,10,40,21,58.6,7.79,15810,2158.63
2,34,2,1,10,37,36,74.78,9.65,720,97.03
2,48,10,24,8,59,50,138.21,19.05,14691,2156.26
2,56,18,8,6,75,58,199.63,28.79,5264,796.03
2,56,18,43,2,75,58,482.05,66.85,33982,4674.66
2,12,10,23,2,23,14,103.06,16.1,3315,548.35
2,25,14,24,8,40,27,85.13,12.03,8417,1235.11
2,25,14,48,8,40,27,79.99,10.94,16596,2364.26
2,34,20,17,8,55,36,123.2,17.44,7984,1132.22
2,34,20,79,7,55,36,120.58,16.15,35493,4789.63
2,42,20,78,9,63,44,123.18,16.23,43817,5914.31
2,58,14,22,7,73,60,180.2,25.53,15041,2268.53
2,8,18,18,9,27,10,31.96,4.86,1923,309.76
2,13,20,85,5,34,15,72.55,9.94,18578,2503.68
2,19,14,37,2,34,21,192.29,26.91,10749,1471.96
2,36,16,7,1,53,38,214.64,35.21,1751,348.28
2,48,18,6,2,67,50,279.46,41.42,3837,575.54
2,48,18,43,4,67,50,249.69,34.65,28423,3966.43
2,51,20,3,3,72,53,204.08,30.39,1332,226.08
2,51,20,63,1,72,53,681.64,98.16,39652,5701.33
2,51,20,99,6,72,53,202.05,26.96,59285,8036.69
2,6,8,6,2,15,8,53.74,7.9,598,83.82
2,22,20,56,8,43,24,80.23,10.79,19544,2632.48
2,33,6,7,7,40,35,113.73,15.49,2796,377.65
2,47,8,15,5,56,49,180.97,24.5,5568,773.45
2,57,14,9,8,72,59,173.46,23.5,7269,983.37
2,7,16,60,1,24,9,131.9,20.72,3641,584.2
2,11,18,75,3,30,13,93.09,13.19,8635,1195.55
2,22,20,7,1,43,24,211.69,34.91,1511,281.58
2,22,20,62,5,43,24,116.57,16.11,19381,2662.6
2,22,20,100,3,43,24,166.42,23.07,23430,3211.14
2,37,20,15,1,58,39,352.97,53.51,6071,940.21
2,39,4,3,4,44,41,115.29,15.17,1472,198.66
2,61,6,8,5,68,63,177.82,24.11,3949,579.59
2,7,20,14,2,28,9,89.58,13.82,1656,239.71
2,7,20,61,4,28,9,55.8,7.83,6860,924.49
2,7,20,75,9,28,9,29.22,4.01,9042,1218.55
2,28,18,64,9,47,30,87.92,11.77,28068,3819.38
2,36,20,5,0,57,38,315.83,48.49,2019,315.85
2,36,20,60,8,57,38,122.12,16.28,32707,4416.57
2,36,20,68,1,57,38,561.09,80.13,30177,4260.29
2,43,6,7,1,50,45,274.22,38.49,3144,423.95
2,50,10,6,5,61,52,158.37,22.72,3263,502.82
2,8,20,4,4,29,10,76.32,12.11,635,88.41
2,8,20,38,1,29,10,133.72,20.89,3769,584.6
2,8,20,70,4,29,10,58.2,8.33,9570,1342.3
2,16,12,29,1,29,18,210.35,31.61,5352,805.07
2,24,16,19,10,41,26,72.22,10.36,5746,880.39
2,24,16,43,5,41,26,113.13,15.97,14253,2039.43
2,43,4,3,2,48,45,120.73,17.21,1133,186.93
2,53,8,13,3,62,55,243.07,34.38,5131,769.56
2,6,14,42,4,21,8,39.12,6.19,3318,571.04
2,10,18,10,0,29,12,200.93,32.32,1152,185.59
2,10,18,46,3,29,12,88.13,12.73,7596,1070.16
2,10,18,76,8,29,12,40,5.47,9833,1350.11
2,26,20,17,10,47,28,88.23,12.28,6639,911.94
2,26,20,59,3,47,28,193.14,26.85,16371,2218.9
2,26,20,81,1,47,28,442.49,63.28,16451,2324.68
2,38,16,31,10,55,40,106.34,14.19,16917,2315.9
2,39,18,21,10,58,41,90.37,13.68,6457,1236.06
2,59,20,24,1,80,61,612.36,87.78,9944,1388.27
2,59,20,43,3,80,61,379.65,52.6,21804,2973.02
2,59,20,98,10,80,61,150.56,19.44,64538,8697.5
2,5,10,10,5,16,7,32.89,4.84,864,123.61
2,27,6,3,1,34,29,142.29,20.18,1001,137.92
2,32,16,19,3,49,34,202.63,29.49,7818,1130.66
2,32,16,46,2,49,34,270.18,38.16,18255,2583.09
2,48,18,30,4,67,50,237.39,33.73,17397,2518.4
2,48,18,55,3,67,50,313.15,44.31,26295,3704.37
2,62,20,19,10,83,64,173.35,23.66,16422,2300.94
2,62,20,48,2,83,64,434.16,65.75,30189,4849.11
2,6,4,4,1,11,8,48.06,6.74,101,13.72
2,18,20,100,9,39,20,60.58,8.08,29754,4009.82
2,27,8,2,9,36,29,88.81,12.84,811,117.52
2,35,10,4,6,46,37,127.98,18.2,1906,268.54
2,47,16,6,4,64,49,204.61,29.09,3597,507.46
2,47,16,47,10,64,49,124.96,16.52,28034,3842.36
2,56,20,90,3,77,58,369.77,50.29,71849,9703.94
2,2,10,19,8,13,4,12.7,1.98,727,127.29
2,16,16,37,6,33,18,62.94,9.62,6506,1112.61
2,22,20,43,4,43,24,131.65,18.91,10333,1509.88
2,38,12,9,9,51,40,108.42,15.46,4156,639.12
2,43,14,3,10,58,45,121.49,17.43,1662,246.68
2,55,20,2,8,76,57,179.69,25.69,1828,252.56
2,55,20,36,8,76,57,170.63,23.1,19915,2769.24
2,55,20,85,4,76,57,286,38.58,36691,4944.69
2,4,2,1,4,7,6,16.21,2.19,85,10.87
2,16,14,5,8,31,18,71.62,10.5,1192,162.89
2,26,18,3,9,45,28,111.42,16.51,1072,147.97
2,26,18,51,10,45,28,73.82,10.02,12031,1726.55
2,26,18,76,10,45,28,74.05,9.83,23643,3228.87
2,31,20,100,0,52,33,2292.34,317.14,40906,5571.78
2,44,20,12,4,65,46,237.68,34.33,7419,1055.12
2,51,20,4,9,72,53,145.52,23.24,1339,324.8
2,51,20,57,0,72,53,1972.64,274.12,30496,4110.59
2,51,20,83,10,72,53,137.62,17.94,38620,5236.28
2,5,4,3,1,10,7,36.85,5.2,87,10.78
2,10,14,12,5,25,12,61.62,9.04,1597,224.64
2,10,14,45,10,25,12,29.09,4.28,4318,678.32
2,24,18,19,7,43,26,86.57,13.09,4832,790.69
2,24,18,47,2,43,26,245.99,34.48,17035,2327.49
2,36,20,8,8,57,38,136.25,19.69,3981,577.21
2,36,20,88,8,57,38,119.24,15.75,38034,5125.68
2,48,10,24,2,59,50,311.32,46.06,12384,1923.19
2,55,12,31,2,68,57,386.81,55.89,17034,2519.47
2,35,16,25,4,52,37,171.57,25.05,10281,1571.66
2,35,16,58,0,52,37,1532.17,233.36,21461,3368.63
2,39,20,93,10,60,41,106.26,13.87,33176,4468.48
2,56,10,5,4,67,58,167.1,25.74,1879,365.79
2,0,14,36,10,15,2,8.05,1.18,929,125.13
2,37,18,12,1,56,39,331.23,49.46,4971,741.05
2,37,18,62,9,56,39,112,14.83,34875,4705.79
2,46,20,25,3,67,48,284.84,41.31,14772,2167.47
2,46,20,56,9,67,48,132.13,17.54,28805,3922.39
2,46,20,77,1,67,48,682.38,94.94,31899,4372.15
2,59,8,13,9,68,61,150.66,19.87,9637,1311.04
2,14,18,32,3,33,16,110.52,16.09,6592,939.97
2,27,20,44,10,48,29,72.55,10.25,13978,2156.71
2,37,18,8,9,56,39,129.72,18.17,4307,584.87
2,37,18,59,4,56,39,196.37,27.32,29930,4211.36
2,37,18,67,8,56,39,121.56,16.07,37302,5027.03
2,43,20,9,7,64,45,169.94,24.65,5218,753.97
2,54,8,9,4,63,56,164.46,24.48,2808,481.15
2,3,10,11,5,14,5,24.54,3.66,716,104.79
2,15,16,22,4,32,17,89.25,13.41,4243,653.16
2,15,16,55,2,32,17,128.04,20.84,8304,1489.64
2,20,20,24,0,41,22,575.26,87.86,5139,782.35
2,20,20,59,4,41,22,119.16,17.13,11630,1710.96
2,33,2,1,7,36,35,65.58,8.27,455,59.13
2,42,12,19,10,55,44,106.28,14.83,9927,1502.83
2,62,14,14,10,77,64,161.25,22.3,9082,1292
2,62,14,49,0,77,64,1804.69,251.63,21508,2937.02
2,3,18,62,2,22,5,53.31,7.94,4206,602.68
2,11,20,54,4,32,13,66.39,10.04,7692,1213.03
2,22,20,26,4,43,24,124.74,18.84,6989,1097.53
2,22,20,62,0,43,24,1263.86,188.05,14874,2239.49
2,22,20,79,4,43,24,135.5,18.56,21174,2853.53
2,35,10,10,6,46,37,120,17.49,3967,630.31
2,45,12,31,3,58,47,240.63,34.44,15792,2324.69
2,51,20,26,6,72,53,196.17,26.62,17688,2392.17
2,51,20,88,6,72,53,198.85,26.45,52579,7100.75
2,0,6,7,5,7,2,9.39,1.44,46,6.81
2,18,16,33,1,35,20,269.66,39.57,8011,1158.44
2,18,16,45,0,35,20,801.89,120.72,8649,1312.3
2,26,18,8,8,45,28,105.75,15.33,2888,406.64
2,38,20,26,10,59,40,96.78,14.25,9935,1692.44
2,38,20,54,5,59,40,178.04,24.26,30090,4099.41
2,40,14,12,9,55,42,110.43,15.69,5832,895.64
2,40,14,47,5,55,42,180.9,24.58,22240,3043.31
2,56,16,23,5,73,58,196.27,29.64,8767,1387.22
2,56,16,37,9,73,58,158.43,21.4,20637,2862.16
2,8,20,29,0,29,10,314.72,51.36,2468,416.1
2,8,20,52,4,29,10,52.43,8.02,5656,881.48
